Bank of Thailand
EC_EI_027 : Thailand's Macro Economic Indicators 1/

Last Updated : 
Retrieved date : 
,,1979 ,1980 ,1981 ,1982 ,1983 ,1984 ,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996 ,1997 ,1998 ,1999 ,2000 ,2001 ,2002 ,2003 ,2004 ,2005 ,2006 ,2007 ,2008 ,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 r,2021 r,2022 p,2023 p,2024 p
11,   2.3 GNP per capita (Baht : Person),n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,39965.0,45084.0,50506.0,55622.0,62133.0,70160.0,75875.0,75856.0,74202.0,75413.0,79852.0,83000.0,88420.0,95689.0,104452.0,113546.0,125550.0,135312.0,143520.0,142200.0,157088.0,166356.0,176675.0,180034.0,185733.0,191723.0,203521.0,215041.0,225478.0,234700.0,220318.0,224233.0,241632.0,....,....
12,3. Inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,   3.1 Headline Consumer Price Index  (2019=100),24.50,29.30,33.10,34.80,36.10,36.40,37.30,38.00,38.90,40.40,42.60,45.10,47.70,49.60,50.00,52.50,55.50,58.80,62.10,67.00,67.20,70.10,71.20,71.70,73.00,75.10,78.40,82.10,83.90,88.50,87.70,90.63,91.65,94.41,96.47,98.30,97.42,97.60,98.25,99.30,100.00,99.15,100.37,106.47,107.78,....
14,      (% change),9.90,19.71,12.77,5.18,3.76,0.88,2.48,1.90,2.40,3.90,5.30,5.93,5.70,4.10,3.52,5.00,5.71,5.95,5.61,7.89,0.30,1.60,1.60,0.70,1.80,2.70,4.50,4.70,2.30,5.50,-0.90,3.30,3.81,3.01,2.18,1.90,-0.90,0.18,0.67,1.07,0.70,-0.85,1.23,6.08,1.23,....
15,   3.2 Core Consumer Price Index  (2019=100) 3/,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,44.30,45.60,46.80,48.30,50.90,54.00,56.70,59.10,60.40,63.60,66.90,70.40,73.70,79.00,80.40,83.00,84.00,84.40,84.50,84.90,86.30,88.20,89.10,91.20,91.40,92.29,92.12,94.05,94.99,96.50,97.52,98.23,98.78,99.48,100.00,100.29,100.52,103.04,104.35,....
16,     (% change),n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2.90,2.71,3.11,5.45,6.14,4.90,4.13,4.86,5.30,5.19,5.23,4.69,7.19,1.77,0.71,1.30,0.40,0.20,0.40,1.60,2.30,1.10,2.40,0.30,1.00,2.37,2.10,1.00,1.59,1.06,0.73,0.56,0.71,0.52,0.29,0.23,2.51,1.27,....
17,4. External Account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,   4.1 Export (BOP basis) (Billions of USD),5.2,6.4,6.9,6.8,6.3,7.3,7.1,8.8,11.6,15.9,19.9,22.9,28.3,32.2,36.6,44.7,55.7,54.7,56.7,52.9,56.8,67.9,63.1,66.1,78.1,94.9,109.4,127.9,151.3,175.2,151.8,192.9,221.4,227.7,227.5,226.6,213.4,213.5,233.7,251.1,242.7,227.0,270.6,285.2,280.2,....
19,      (% change),30.0,23.1,7.8,-1.4,-7.4,15.9,-2.7,23.9,31.8,37.1,25.2,15.1,23.6,13.8,13.4,22.1,24.8,-1.9,3.8,-6.8,7.4,19.5,-7.1,4.8,18.2,21.6,15.2,17.0,18.2,15.9,-13.4,27.1,14.8,2.8,-0.1,-0.4,-5.9,0.1,9.5,7.5,-3.3,-6.5,19.2,5.4,-1.7,....
20,   4.2 Import (BOP basis) (Billions of USD),6.8,8.4,8.9,7.6,9.2,9.2,8.4,8.5,12.0,17.8,22.7,29.4,34.0,36.1,40.6,47.7,63.3,63.7,55.2,36.6,42.8,56.2,54.5,57.0,66.9,84.2,106.0,114.3,124.6,157.9,120.6,166.2,209.2,227.6,227.4,209.4,187.2,177.7,201.1,228.7,216.0,186.6,238.2,271.6,263.2,....
21,      (% change),,24.0,6.5,-15.2,21.4,0.0,-8.8,1.1,41.5,48.9,27.3,29.8,15.6,6.1,12.4,17.7,32.7,0.6,-13.4,-33.8,16.9,31.3,-3.0,4.6,17.4,10.7,25.9,7.8,9.1,26.7,-23.6,37.9,25.9,8.8,-0.1,-7.9,-10.6,-5.1,13.2,13.7,-5.6,-13.6,27.7,14.0,-3.1,....
22,   4.3 Trade balance (Billions of USD),-1.6,-2.0,-2.0,-0.8,-2.9,-1.9,-1.3,0.3,-0.4,-1.9,-2.8,-6.5,-5.7,-3.9,-4.0,-3.0,-7.6,-9.0,1.5,16.3,14.0,11.7,8.6,9.1,11.2,10.7,3.4,13.7,26.6,17.3,31.2,26.7,12.2,0.0,0.0,17.2,26.1,35.8,32.6,22.4,26.7,40.4,32.4,13.5,17.0,....
23,   4.4 Current account balance (Billions of USD),-2.1,-2.1,-2.6,-1.0,-2.9,-2.1,-1.5,0.3,-0.3,-1.5,-2.4,-7.1,-7.4,-6.1,-6.1,-7.8,-13.2,-14.3,-3.1,14.3,12.5,9.3,5.1,4.7,4.8,2.8,-7.6,2.3,15.6,0.9,22.2,11.5,9.4,-4.9,-8.8,11.6,27.8,43.4,44.0,28.5,38.3,20.9,-10.3,-15.7,7.0,....
24,      (as % of GDP),-7.6,-6.4,-7.4,-2.8,-7.2,-5.0,-3.9,0.7,-0.6,-2.4,-3.3,-8.3,-7.5,-5.5,-4.9,-5.4,-7.9,-7.9,-2.0,12.7,10.2,9.2,7.0,6.8,7.3,6.2,-4.0,1.0,5.9,0.3,7.9,3.3,2.6,-1.2,-2.0,2.9,6.9,10.5,9.6,5.6,7.0,4.2,-2.0,-3.2,1.4,....
25,   4.5 Net capital movement (Billions of USD),1.6,2.5,2.5,1.7,1.5,2.5,1.9,-0.4,1.1,3.7,5.7,9.7,11.3,8.1,10.5,12.2,21.9,19.5,-4.3,-9.8,-7.9,-10.3,-3.4,-1.8,-4.7,3.6,7.9,7.4,-0.2,17.3,1.4,23.6,-8.3,12.8,-2.5,-16.0,-16.8,-20.2,-10.5,-12.3,-14.8,-11.6,-5.0,6.6,-14.4,....
26,      4.5.1 Central Bank,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,1.7,3.9,4.0,-0.2,-0.3,4.0,2.6,3.0,0.5,0.4,-0.9,0.3,1.5,2.7,-0.1,1.0,-4.6,-3.0,-1.4,1.1,3.1,-1.7,-1.3,-1.4,5.7,0.0,-1.5,....
27,      4.5.2 Government,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-0.90,-0.80,-2.20,-0.30,0.50,3.60,3.40,6.50,4.60,1.40,-1.70,1.00,2.20,3.70,-0.50,-3.80,3.80,-0.70,-4.20,....
28,      4.5.3 Other Depository Corporation 4/,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,0.10,-9.10,-1.70,11.20,9.20,8.20,-8.20,16.40,3.20,-5.50,-12.80,-0.70,4.20,-5.90,-2.60,-2.10,3.70,-15.80,-0.50,....
29,      4.5.4 Other Sectors,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,8.30,16.80,4.70,6.10,-9.80,9.00,-3.40,-11.10,-5.70,-9.00,-0.90,-21.50,-20.00,-8.50,-10.40,-4.40,-18.20,23.10,-8.10,....
30,   4.6 Balance of payments (Billions of USD),-0.4,0.3,0.1,0.1,-0.8,0.4,0.5,0.4,0.9,2.5,4.0,3.8,4.2,3.0,3.9,4.2,7.2,2.2,-10.6,1.7,4.6,-1.6,1.3,4.2,0.1,5.7,5.4,12.7,17.1,24.7,24.1,31.3,1.2,5.3,-5.0,-1.2,5.9,12.8,26.0,7.3,13.6,18.4,-7.1,-10.2,2.6,....
31,   4.7 International reserves (Billions of USD),3.1,3.1,2.8,2.7,2.6,2.7,3.0,3.8,5.2,7.1,10.5,14.3,18.4,21.2,25.4,30.3,37.0,38.7,27.0,29.5,34.8,32.7,33.0,38.9,42.1,49.8,52.1,67.0,87.5,111.0,138.4,172.1,175.1,181.6,167.3,157.1,156.5,171.9,202.6,205.6,224.3,258.1,246.0,216.6,224.5,....
32,   4.8 Swap Obligation (Billions of USD),,,,,,,,,,,,,,,,,,,18.0,6.6,4.8,2.1,2.1,0.5,-5.2,-4.6,-3.8,-7.0,-19.1,-7.0,-15.7,-19.6,-31.3,-24.2,-23.0,-23.1,-11.7,-25.8,-36.7,-33.7,-34.7,-28.3,-33.2,-29.2,-30.1,....
33,   4.9 Total debt outstanding (Billions of USD),6.8,8.7,11.1,12.2,14.0,15.7,17.5,18.3,20.0,21.1,22.9,29.3,37.9,43.6,52.1,64.9,100.8,108.7,109.3,105.1,95.1,79.7,67.5,59.5,51.8,58.8,59.3,70.0,74.4,76.1,75.3,100.6,104.3,130.7,141.9,141.7,131.4,132.8,155.9,163.1,172.6,190.1,196.2,200.3,193.2,....
34,      of which : Public debt 5/,3.1,4.4,6.3,7.2,8.1,8.5,10.6,12.1,13.9,13.3,12.1,11.5,12.8,13.1,14.2,15.7,16.4,16.8,24.1,31.6,36.2,33.9,28.3,23.3,17.0,15.3,15.2,15.4,14.9,14.8,15.4,26.3,27.7,39.7,36.5,35.2,29.6,31.7,40.6,43.8,46.5,47.1,51.2,50.1,44.3,....
35,   4.10 Total debt service ratio (%),18.1,17.8,19.3,21.0,23.2,23.9,27.4,24.7,19.8,15.0,12.9,10.8,10.6,11.3,11.2,11.7,11.4,12.3,15.7,21.4,19.4,15.4,20.8,19.6,16.0,8.5,11.1,11.2,12.0,8.2,7.5,4.7,3.4,4.2,4.0,4.9,6.4,5.9,5.8,6.2,6.9,7.7,6.3,7.1,7.6,....
36,     of which : Public (included BOT since 1997),4.7,6.1,8.8,10.7,11.9,11.9,14.3,13.9,11.4,9.2,7.4,6.0,4.2,3.7,3.7,3.4,2.8,2.5,2.7,3.3,4.0,4.0,8.1,7.9,7.6,1.9,1.1,1.3,1.0,0.7,0.7,0.6,0.6,0.6,0.9,0.7,0.7,0.8,1.3,1.0,1.7,1.2,1.1,1.2,1.0,....
37,5. Government Finance (fiscal year),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,   5.1 Overall cash balances (Billions of Baht),-12.3,-21.8,-17.5,-42.5,-26.7,-34.9,-34.4,-39.9,-17.8,30.2,59.3,103.3,123.7,85.9,68.9,65.8,112.5,104.3,-87.1,-115.3,-134.4,-116.6,-107.9,-118.7,34.3,17.2,16.9,4.5,-94.8,-24.0,-417.1,-200.4,-159.9,-287.0,-208.9,-327.3,-344.2,-381.9,-406.3,-396.1,-310.0,-973.5,-1458.4,-953.2,-501.4,-429.3
39,      (as % of GDP),-2.2,-3.3,-2.3,-5.1,-2.9,-3.5,-3.3,-3.5,-1.4,1.9,3.2,4.7,4.9,3.0,2.2,1.9,2.8,2.3,-1.9,-2.5,-2.9,-2.4,-2.1,-2.2,0.6,0.3,0.2,0.1,-1.1,-0.3,-4.4,-1.9,-1.4,-2.4,-1.6,-2.5,-2.5,-2.7,-2.7,-2.5,-1.8,-6.1,-9.1,-5.6,-2.8,-2.4
40,   5.2 Total public debt outstanding (Billions of Baht) 6/,,,,,,,,,,,,,,,,,,548.7,1525.5,2073.5,2607.1,2804.3,2934.4,2943.0,2930.0,3126.6,3277.5,3233.1,3178.5,3408.2,4001.9,4230.7,4448.3,4937.2,5430.6,5690.8,5783.3,5988.4,6369.3,6781.0,6901.8,7848.2,9337.5,10373.9,11084.6,11474.2
41,      Domestic debt,,,,,,,,,,,,,,,,,,288.6,1133.6,1598.3,1737.6,1937.9,2025.1,2118.8,2219.5,2455.9,2677.0,2727.0,2765.2,3020.8,3617.6,3868.2,4097.2,4596.6,5052.5,5332.6,5423.0,5641.9,6067.8,6519.0,6684.4,7708.8,9169.2,10196.9,10929.8,11332.8
42,6. Monetary Statistics 7/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,   6.1 Narrow Money  (Billions of Baht),....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,415.3,404.4,562.8,504.4,567.8,656.3,750.0,829.3,889.7,910.6,998.9,1040.1,1173.8,1301.7,1413.5,1597.1,1661.3,1682.5,1778.1,1864.2,2038.9,2095.2,2214.4,2529.8,2883.7,2973.8,3100.2,3137.9
44,     (% change),....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,-2.6,39.2,-9.5,11.5,15.6,14.3,10.6,7.3,2.3,9.7,4.1,12.9,10.9,8.6,13.0,4.0,1.3,5.7,4.8,9.4,2.8,5.7,14.2,14.0,3.1,4.2,1.2
45,   6.2 Broad Money (Billions of Baht),....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,5266.8,5742.4,5828.7,6056.3,6404.1,6488.1,7062.1,7470.9,7926.4,8572.5,9108.5,9943.2,10616.2,11778.1,13559.1,14965.7,16062.2,16809.0,17554.6,18295.7,19212.9,20109.6,20841.0,22958.4,24061.6,24994.2,25481.7,25856.3
46,     (% change),....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,9.3,1.5,3.9,5.7,1.3,6.2,5.8,6.1,8.2,6.3,9.2,6.8,10.9,15.1,10.4,7.3,4.6,4.4,4.2,5.0,4.7,3.6,10.2,4.8,3.9,2.0,2.6
47,   6.3 Domestic Claims : Included investment (% change),....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,4.7,4.6,1.1,3.9,7.7,4.7,10.0,16.0,15.2,7.9,5.3,5.2,4.5,4.7,4.8,2.7,7.5,9.4,4.2,4.2,2.9
48,      Claims on Other Nonfinancial Corp. & Other Resident Sector (% change) 8/,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,5.5,6.0,3.0,3.3,7.5,3.5,12.0,17.0,14.6,9.6,4.7,5.6,4.2,4.6,5.8,2.4,4.5,4.5,2.4,1.6,1.6
49,   6.4 Other Depository Corporations deposits (% change) 9/,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,....,5.1,5.8,7.3,2.3,8.5,5.5,8.7,10.1,23.0,9.2,4.7,5.1,3.8,5.1,4.7,3.9,9.9,4.5,4.5,1.5,2.3
50,   6.5 Interest rate (year end) 10/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,      6.5.1 Prime rate : Min,14.50,16.50,17.00,16.00,15.50,16.50,15.50,12.00,11.50,12.00,12.50,16.25,14.00,11.50,10.50,11.75,13.75,13.00,15.25,11.50,8.25,7.50,7.00,6.50,5.50,5.50,6.50,7.50,6.85,6.75,5.85,6.12,7.25,7.00,6.75,6.75,6.50,6.25,6.03,6.03,6.00,5.25,5.25,5.33,6.70,7.05
52,                Prime rate : Max,14.50,16.50,17.00,16.00,16.50,16.50,15.50,12.25,11.50,12.00,13.50,16.25,14.00,11.50,10.50,11.75,13.75,13.25,15.25,12.00,8.50,8.25,7.50,7.00,5.75,5.75,6.75,8.00,7.13,7.00,6.25,6.50,7.63,7.38,7.25,7.13,6.85,6.60,6.60,6.60,6.35,5.58,5.58,5.67,6.96,7.28
53,      6.5.2 Fixed deposits (1 yr.) : Min,9.00,12.00,13.00,12.50,12.50,12.50,11.00,7.25,7.25,7.75,9.50,13.00,10.50,8.50,7.00,8.25,10.25,8.50,10.00,6.00,4.00,3.50,2.75,2.00,1.00,1.00,2.50,4.00,2.25,1.75,0.65,1.40,2.70,2.35,2.15,1.70,1.30,1.30,1.30,1.30,1.05,0.45,0.40,0.48,1.33,1.60
54,                Fixed deposits (1 yr.) : Max,9.00,12.00,13.00,12.50,12.50,12.50,11.00,7.25,7.25,9.50,9.50,15.50,10.50,8.50,7.00,10.25,11.00,9.25,13.00,6.00,4.25,3.50,3.00,2.00,1.00,1.00,3.50,5.00,2.38,2.00,1.00,1.70,3.00,2.50,2.35,1.75,1.50,1.50,1.50,1.50,1.55,0.50,0.50,0.62,1.44,1.70
55,7. Exchange rate 11/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,      Baht : US$ (Reference rate) average (Baht : 1 USD),20.42,20.48,21.82,23.00,23.00,23.64,27.16,26.30,25.74,25.29,25.70,25.59,25.52,25.40,25.32,25.15,24.92,25.34,31.37,41.37,37.84,40.16,44.48,43.00,41.53,40.27,40.27,37.93,34.56,33.36,34.34,31.73,30.49,31.08,30.73,32.48,34.25,35.30,33.94,32.31,31.05,31.30,31.98,35.07,34.81,35.95
57,8. Household Indicator  12/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,      Household loans to GDP (%),n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,76.1,81.1,84.4,85.9,84.0,82.5,82.7,84.1,94.2,94.6,91.4,91.3,....
